,City,Latitude,Longitude,Temperature,Cloudiness,Wind Speed,Humidity
0,Rikitea,-23.12,-134.97,75.56,100,16.75,83
1,Pevek,69.7,170.31,20.44,100,13.73,97
2,Vaini,-21.2,-175.2,77.0,20,12.75,73
3,Visnes,59.36,5.22,48.38,100,13.87,87
4,Kapaa,22.08,-159.32,82.13,75,5.82,69
5,Hasaki,35.73,140.83,61.63,75,4.7,82
6,Tiarei,-17.53,-149.33,82.2,75,19.46,74
7,Mataura,-46.19,168.86,60.01,11,1.99,60
8,Severnoye,56.35,78.36,30.16,98,13.78,97
9,Arraial do Cabo,-22.97,-42.03,73.4,0,13.87,94
10,Albany,42.6,-73.97,46.54,100,1.7,76
11,Norman Wells,65.28,-126.83,15.8,20,5.82,85
12,Barrow,71.29,-156.79,30.2,75,21.92,80
13,Ulladulla,-35.35,150.47,60.91,75,10.29,72
14,Bowen,-20.02,148.23,87.8,75,9.17,45
15,North Platte,41.12,-100.77,33.8,1,5.82,50
16,Bereda,43.27,-7.54,52.63,99,5.01,100
17,Corrales,35.24,-106.61,32.5,100,5.06,77
18,Ushuaia,-54.8,-68.3,44.6,75,11.41,39
19,Baiquan,47.58,126.08,34.54,0,10.8,79
20,Mar del Plata,-38.0,-57.56,57.34,0,6.93,87
21,Vao,-22.67,167.48,73.22,100,18.48,82
22,Nikolskoye,59.7,30.79,51.6,75,8.95,87
23,Severo-Kuril'sk,50.68,156.12,45.37,0,5.26,77
24,Ketchikan,55.34,-131.65,46.4,40,3.36,93
25,Buala,-8.14,159.59,86.02,41,6.91,70
26,Dikson,73.51,80.55,5.61,100,16.98,95
27,Chake Chake,-5.25,39.77,76.01,1,5.26,87
28,San Quintín,30.48,-115.95,65.62,0,6.98,44
29,Klaksvík,62.23,-6.59,46.71,100,23.26,86
30,Srednekolymsk,67.45,153.68,14.95,83,7.74,90
31,Ouadda,8.08,22.4,68.81,19,1.28,71
32,Provideniya,64.38,-173.3,32.0,90,6.71,95
33,Sai Buri,6.7,101.62,80.87,92,7.45,79
34,Castro,-24.79,-50.01,59.59,0,4.5,67
35,Chitral,35.85,71.79,51.67,0,0.54,41
36,Saldanha,-33.01,17.94,59.0,100,2.24,87
37,Carnarvon,-24.87,113.63,71.6,0,24.16,68
38,Saint-Philippe,-21.36,55.77,63.39,0,2.24,64
39,Saint Paul Harbor,57.79,-152.41,44.6,1,21.92,56
40,Bluff,-46.6,168.33,60.01,10,1.99,60
41,Vila,42.03,-8.16,54.0,99,4.0,95
42,São João da Barra,-21.64,-41.05,74.55,100,14.63,90
43,Nanortalik,60.14,-45.24,30.45,100,3.33,90
44,Atuona,-9.8,-139.03,78.66,1,19.01,74
45,Shaunavon,49.65,-108.42,36.77,60,12.21,84
46,Tiruchirappalli,10.82,78.68,78.8,20,3.36,88
47,Yellowknife,62.46,-114.35,17.37,75,4.7,67
48,Faanui,-16.48,-151.75,79.93,91,18.72,82
49,Hobart,-42.88,147.33,57.02,75,10.29,71
50,Rio Grande,-32.03,-52.1,63.0,100,8.99,99
51,Lázaro Cárdenas,17.96,-102.2,80.67,36,7.56,85
52,Chicama,-7.84,-79.15,64.83,95,5.01,80
53,Port Alfred,-33.59,26.89,63.39,85,13.33,87
54,Katsuura,35.13,140.3,63.5,75,4.7,68
55,Dunedin,-45.87,170.5,54.0,37,18.99,68
56,Lorengau,-2.02,147.27,86.32,77,1.88,63
57,Lagoa,39.05,-27.98,62.55,100,7.02,61
58,Nuevo Progreso,23.17,-97.95,75.09,100,1.99,61
59,Zhigansk,66.77,123.37,-6.84,61,2.55,91
60,Cabo San Lucas,22.89,-109.91,74.71,40,17.22,57
61,Busselton,-33.65,115.33,60.64,9,8.9,88
62,Shache,38.42,77.24,35.62,100,0.29,76
63,Khatanga,71.97,102.5,-6.11,48,10.27,90
64,Longyearbyen,78.22,15.64,30.2,75,3.36,86
65,Tasiilaq,65.61,-37.64,25.45,100,7.43,91
66,Ribeira Brava,32.65,-17.07,61.7,75,8.05,68
67,Tuatapere,-46.13,167.68,61.0,100,3.0,63
68,Campeche,19.0,-90.5,73.33,100,1.7,90
69,Butaritari,3.07,172.79,81.0,44,3.02,65
70,Iqaluit,63.75,-68.51,19.4,90,8.05,73
71,Rome,43.21,-75.46,41.43,90,1.79,87
72,Manta,-0.95,-80.73,73.4,75,10.29,83
73,Quatre Cocos,-20.21,57.76,70.0,7,3.0,80
74,Pemangkat,1.17,108.97,80.64,78,8.99,78
75,Clyde River,70.47,-68.59,12.2,20,6.93,66
76,South Lake Tahoe,38.93,-119.98,52.21,1,6.93,23
77,Honningsvåg,70.98,25.97,41.43,100,9.1,71
78,Lavrentiya,65.58,-171.0,30.13,71,8.81,90
79,Rocha,-34.48,-54.33,57.94,100,10.42,92
80,Thompson,55.74,-97.86,24.8,75,9.17,68
81,Eureka,40.8,-124.16,59.79,1,8.05,51
82,Kashgar,39.45,75.98,46.4,0,8.95,39
83,Torbat-e Jām,35.24,60.62,50.13,0,12.91,47
84,Chanika,-5.42,38.02,65.97,34,2.71,97
85,Leningradskiy,69.38,178.42,19.2,0,18.66,91
86,Coquimbo,-29.95,-71.34,53.6,0,5.82,87
87,Sinnamary,5.38,-52.95,80.37,26,9.8,80
88,Saint Anthony,45.02,-93.22,31.55,40,11.41,92
89,Port Elizabeth,-33.92,25.57,62.6,0,19.46,82
90,Skała,50.23,19.85,51.24,90,2.24,93
91,Chui,-33.7,-53.46,62.31,100,13.73,95
92,Qaanaaq,77.48,-69.36,12.09,99,12.8,81
93,Punta Arenas,-53.15,-70.92,44.29,0,17.22,78
94,Belmonte,-15.86,-38.88,78.8,75,8.05,83
95,Sri Aman,1.24,111.46,78.4,20,4.7,88
96,Port Blair,11.67,92.75,79.57,85,3.13,79
97,Leh,34.17,77.58,28.13,0,0.87,68
98,Oodweyne,9.41,45.06,66.15,24,11.14,31
99,Souillac,-20.52,57.52,70.0,6,3.0,80
100,New Norfolk,-42.78,147.06,55.9,98,1.01,63
101,Cidreira,-30.18,-50.21,63.88,98,11.68,84
102,Cape Town,-33.93,18.42,60.55,75,10.29,87
103,Royan,45.63,-1.03,57.43,90,8.05,100
104,Langsa,4.47,97.97,79.34,100,0.96,85
105,Sōja,34.67,133.75,57.94,75,2.24,77
106,Aksu,41.12,80.26,41.02,100,2.68,58
107,West Bay,19.37,-81.42,82.8,20,5.82,83
108,Kununurra,-15.77,128.73,87.8,98,3.36,62
109,Pacific Grove,36.62,-121.92,67.19,1,8.05,16
110,Puerto Ayora,-0.74,-90.35,68.0,100,3.0,92
111,Hilo,19.73,-155.09,75.99,90,9.17,74
112,Río Gallegos,-51.62,-69.22,50.0,75,8.05,31
113,Husavik,66.04,-17.34,37.4,90,8.05,64
114,Bambous Virieux,-20.34,57.76,70.0,6,3.0,80
115,Salalah,17.02,54.09,77.0,20,2.24,53
116,Dolores,-36.31,-57.68,50.2,0,3.71,68
117,Geraldton,-28.77,114.6,69.8,90,17.22,56
118,East London,-33.02,27.91,67.82,18,17.92,74
119,Lompoc,34.64,-120.46,68.11,1,11.41,45
120,Jacksonville,30.33,-81.66,77.02,75,10.29,88
121,George Town,5.41,100.34,78.4,20,3.36,88
122,College,64.86,-147.8,27.55,90,4.23,92
123,Lubao,14.92,120.55,82.4,75,4.7,78
124,Bethel,41.37,-73.41,50.45,75,3.65,57
125,Corinth,37.94,22.96,60.01,99,3.0,60
126,Jalu,29.03,21.55,70.16,0,10.22,43
127,Bredasdorp,-34.53,20.04,62.6,100,4.7,88
128,Saskylakh,71.92,114.08,5.65,100,11.86,93
129,Thunder Bay,48.4,-89.32,33.44,75,13.87,55
130,San Carlos,9.66,-68.58,74.37,1,3.2,92
131,Hong Kong,22.29,114.16,73.47,100,1.99,72
132,Ilinden,42.0,21.58,42.8,0,0.51,93
133,Waipawa,-41.41,175.52,59.4,99,16.11,72
134,Ancud,-41.87,-73.82,44.28,90,12.75,93
135,Guerrero Negro,27.98,-114.06,66.52,0,19.51,27
136,Ladário,-19.0,-57.6,74.91,0,1.21,75
137,Hay River,60.82,-115.8,23.0,75,5.82,79
138,Manyana,-23.4,21.72,75.76,0,11.7,21
